,ARRIVE_TIME
831,22805.0
832,22810.0
833,22815.0
834,22820.0
835,22825.0
836,22830.0
837,22835.0
838,22840.0
839,22845.0
840,22850.0
841,22855.0
842,22860.0
843,22865.0
844,22870.0
845,22875.0
846,22880.0
847,22885.0
848,22890.0
849,22895.0
850,22900.0
851,22905.0
852,22910.0
853,22915.0
854,22920.0
855,22925.0
856,22930.0
857,22935.0
858,22940.0
859,22945.0
860,22950.0
861,22955.0
862,22960.0
863,22965.0
864,22970.0
865,22975.0
866,22980.0
867,22985.0
868,22990.0
869,22995.0
870,23000.0
871,23005.0
872,23010.0
873,23015.0
874,23020.0
875,23025.0
876,23030.0
877,23035.0
878,23040.0
879,23045.0
880,23050.0
881,23055.0
882,23060.0
883,23065.0
884,23070.0
885,23075.0
886,23080.0
887,23085.0
888,23090.0
889,23095.0
890,23100.0
891,23105.0
892,23110.0
893,23115.0
894,23120.0
895,23125.0
896,23130.0
897,23135.0
898,23140.0
899,23145.0
900,23150.0
901,23155.0
902,23160.0
903,23165.0
904,23170.0
905,23175.0
906,23180.0
907,23185.0
908,23190.0
909,23195.0
910,23200.0
911,23205.0
912,23210.0
913,23215.0
914,23220.0
915,23225.0
916,23230.0
917,23235.0
918,23240.0
919,23245.0
920,23250.0
921,23255.0
922,23260.0
923,23265.0
924,23270.0
925,23275.0
926,23280.0
927,23285.0
928,23295.0
929,23300.0
930,23305.0
931,23310.0
932,23315.0
933,23320.0
934,23325.0
935,23330.0
936,23335.0
937,23340.0
938,23345.0
939,23350.0
940,23355.0
941,23360.0
942,23365.0
943,23370.0
944,23375.0
945,23380.0
946,23385.0
947,23390.0
948,23395.0
949,23400.0
950,23405.0
951,23410.0
952,23415.0
953,23420.0
954,23425.0
955,23431.0
956,23436.0
957,23441.0
958,23446.0
959,23452.0
960,23457.0
961,23463.0
962,23469.0
963,23474.0
964,23479.0
965,23484.0
966,23489.0
967,23494.0
968,23499.0
969,23504.0
970,23510.0
971,23516.0
972,23521.0
973,23526.0
974,23531.0
975,23536.0
976,23541.0
977,23546.0
978,23551.0
979,23556.0
980,23561.0
981,23566.0
982,23571.0
983,23576.0
984,23581.0
985,23586.0
986,23591.0
987,23596.0
988,23601.0
989,23606.0
990,23611.0
991,23616.0
992,23621.0
993,23631.0
994,23636.0
995,23641.0
996,23646.0
997,23651.0
998,23656.0
999,23661.0
1000,23666.0
1001,23671.0
1002,23676.0
1003,23681.0
1004,23686.0
1005,23691.0
1006,23696.0
1007,23701.0
1008,23706.0
1009,23711.0
1010,23716.0
1011,23721.0
1012,23746.0
1013,23756.0
1014,23761.0
1015,23766.0
1016,23771.0
1017,23776.0
1018,23781.0
1019,23786.0
1020,23946.0
1021,23956.0
1022,23961.0
1023,23966.0
1024,23971.0
1025,23976.0
1026,23981.0
1027,23986.0
1028,23991.0
1029,23996.0
1030,24001.0
1031,24006.0
1032,24011.0
1033,24016.0
1034,24021.0
1035,24024.0
1036,24031.0
1037,24036.0
1038,24038.0
1039,24041.0
1040,24046.0
1041,24051.0
1042,24056.0
1043,24061.0
1044,24066.0
1045,24071.0
1046,24076.0
1047,24079.0
1048,25082.0
1049,25087.0
1050,25092.0
1051,25097.0
